shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_R01_8b543360,33.730259,130.738144,309,8589.62
shape_R01_8b543360,33.730350,130.738010,310,8605.62
shape_R01_8b543360,33.730925,130.737623,311,8678.89
shape_R01_8b543360,33.731741,130.737051,312,8783.92
shape_R01_8b543360,33.731759,130.737038,313,8786.25
shape_R01_8b543360,33.731569,130.736518,314,8838.77
shape_R01_8b543360,33.731315,130.735751,315,8915.12
shape_R01_8b543360,33.731280,130.735646,316,8925.58
shape_R01_8b543360,33.730584,130.733531,317,9135.92
shape_R01_8b543360,33.730557,130.733447,318,9144.25
shape_R01_8b543360,33.730536,130.733388,319,9150.18
shape_R01_8b543360,33.730967,130.733163,320,9202.43
shape_R01_8b543360,33.731271,130.732982,321,9240.15
shape_R01_8b543360,33.731377,130.732894,322,9254.48
shape_R01_8b543360,33.731438,130.732844,323,9262.68
shape_R01_8b543360,33.731579,130.732709,324,9282.73
shape_R01_8b543360,33.731710,130.732567,325,9302.34
shape_R01_8b543360,33.731781,130.732471,326,9314.22
shape_R01_8b543360,33.731867,130.732332,327,9330.24
shape_R01_8b543360,33.731902,130.732276,328,9336.72
shape_R01_8b543360,33.731998,130.732071,329,9358.47
shape_R01_8b543360,33.732093,130.731868,330,9380.01
shape_R01_8b543360,33.732247,130.731596,331,9410.44
shape_R01_8b543360,33.732325,130.731488,332,9423.67
shape_R01_8b543360,33.732397,130.731416,333,9434.08
shape_R01_8b543360,33.732517,130.731300,334,9451.20
shape_R01_8b543360,33.732533,130.731280,335,9453.77
shape_R01_8b543360,33.732546,130.731266,336,9455.71
shape_R01_8b543360,33.732736,130.731111,337,9481.24
shape_R01_8b543360,33.733190,130.730792,338,9539.71
shape_R01_8b543360,33.733453,130.730623,339,9572.87
shape_R01_8b543360,33.733611,130.730509,340,9593.36
shape_R01_8b543360,33.733616,130.730506,341,9593.98
shape_R01_8b543360,33.734045,130.730217,342,9648.66
shape_R01_8b543360,33.734691,130.729916,343,9725.69
shape_R01_8b543360,33.735475,130.729577,344,9818.33
shape_R01_8b543360,33.735826,130.729444,345,9859.26
shape_R01_8b543360,33.736012,130.729401,346,9880.32
shape_R01_8b543360,33.736077,130.729395,347,9887.57
shape_R01_8b543360,33.736250,130.729378,348,9906.87
shape_R01_8b543360,33.736426,130.729372,349,9926.44
shape_R01_8b543360,33.736691,130.729391,350,9955.96
shape_R01_8b543360,33.736861,130.729418,351,9975.03
shape_R01_8b543360,33.737004,130.729459,352,9991.38
shape_R01_8b543360,33.737244,130.729557,353,10019.56
shape_R01_8b543360,33.738050,130.729984,354,10117.50
shape_R01_8b543360,33.738586,130.730264,355,10182.48
shape_R01_8b543360,33.738836,130.730451,356,10215.21
shape_R01_8b543360,33.739082,130.730559,357,10244.33
shape_R01_8b543360,33.739129,130.730438,358,10256.68
shape_R01_8b543360,33.739896,130.728355,359,10467.33
shape_R01_8b543360,33.739932,130.728244,360,10478.35
shape_R01_8b543360,33.739966,130.728053,361,10496.41
shape_R01_8b543360,33.740006,130.727798,362,10520.40
shape_R01_8b543360,33.740058,130.727126,363,10582.81
shape_R01_8b543360,33.740629,130.727071,364,10646.50
shape_R01_8b543360,33.740635,130.727144,365,10653.29
shape_R01_8b543360,33.740648,130.727217,366,10660.19
shape_R01_8b543360,33.740678,130.727269,367,10666.04
shape_R01_8b543360,33.740904,130.727711,368,10714.02
shape_R01_8b543360,33.741096,130.727943,369,10744.28
shape_R01_8b543360,33.740878,130.728368,370,10790.46
shape_R01_8b543360,33.740979,130.728491,371,10806.44
shape_R01_8b543360,33.741037,130.728564,372,10815.78
shape_R01_8b543360,33.741043,130.728632,373,10822.10
shape_R01_8b543360,33.741020,130.728716,374,10830.28
shape_R01_8b543360,33.740981,130.728796,375,10838.85
shape_R01_8b543360,33.740975,130.728809,376,10840.22
shape_R01_8b543360,33.741121,130.728889,377,10858.07
shape_R01_8b543360,33.741428,130.729050,378,10895.31
shape_R01_8b543360,33.741529,130.729102,379,10907.52
shape_R01_8b543360,33.742013,130.729308,380,10964.61
shape_R01_8b543360,33.742185,130.729269,381,10984.08
shape_R01_8b543360,33.742514,130.729265,382,11020.66
shape_R01_8b543360,33.742795,130.729256,383,11051.92
shape_R01_8b543360,33.742846,130.729255,384,11057.59
shape_R01_8b543360,33.743279,130.729278,385,11105.78
shape_R01_8b543360,33.743326,130.729279,386,11111.01
shape_R01_8b543360,33.744039,130.729291,387,11190.30
shape_R01_8b543360,33.744140,130.729293,388,11201.53
shape_R01_8b543360,33.744358,130.729287,389,11225.78
shape_R01_8b543360,33.744669,130.729247,390,11260.56
shape_R01_8b543360,33.745483,130.729160,391,11351.43
shape_R01_8b543360,33.746073,130.729081,392,11417.44
shape_R01_8b543360,33.746137,130.729071,393,11424.61
shape_R01_8b543360,33.746224,130.729056,394,11434.39
shape_R01_8b543360,33.747102,130.728867,395,11533.57
shape_R01_8b543360,33.747509,130.728771,396,11579.69
shape_R01_8b543360,33.747652,130.728743,397,11595.80
shape_R01_8b543360,33.747662,130.728741,398,11596.92
shape_R01_8b543360,33.748226,130.728620,399,11660.63
shape_R01_8b543360,33.748673,130.728546,400,11710.80
shape_R01_8b543360,33.749167,130.728441,401,11766.58
shape_R01_8b543360,33.749358,130.728386,402,11788.42
shape_R01_8b543360,33.749295,130.728073,403,11818.20
shape_R01_8b543360,33.749258,130.727806,404,11843.22
shape_R01_8b543360,33.749219,130.727526,405,11869.47
shape_R01_8b543360,33.749131,130.726991,406,11919.89
shape_R01_8b543360,33.749048,130.726324,407,11982.25
shape_R01_8b543360,33.748994,130.726013,408,12011.62
shape_R01_8b543360,33.748860,130.725109,409,12096.52
shape_R01_8b543360,33.748810,130.724827,410,12123.18
shape_R01_8b543360,33.748800,130.724773,411,12128.29
shape_R01_8b543360,33.748785,130.724724,412,12133.12
shape_R01_8b543360,33.748761,130.724692,413,12137.11
shape_R01_8b543360,33.748734,130.724675,414,12140.49
shape_R01_8b543360,33.748697,130.724668,415,12144.66
shape_R01_8b543360,33.748660,130.724670,416,12148.78
shape_R01_8b543360,33.748605,130.724686,417,12155.07
shape_R01_8b543360,33.748577,130.724694,418,12158.27
shape_R01_6eb89030,33.748577,130.724694,0,0.00
shape_R01_6eb89030,33.748605,130.724686,1,3.20
shape_R01_6eb89030,33.748660,130.724670,2,9.49
